Location,Days_To_Double_Cases
Afghanistan,2.0
Albania,4.0
Algeria,3.0
Andorra,1.0
Antigua and Barbuda,
Argentina,4.0
Armenia,1.0
Aruba,
Australia,4.0
Austria,3.0
Azerbaijan,5.0
Bahamas,
Bahrain,6.0
Bangladesh,2.0
Belarus,4.0
Belgium,4.0
Benin,
Bhutan,
Bolivia,2.0
Bosnia and Herzegovina,4.0
Brazil,3.0
Brunei,3.0
Bulgaria,3.0
Burkina Faso,1.0
Cambodia,1.0
Cameroon,3.0
Canada,3.0
Cayman Islands,
Central African Republic,
Chile,1.0
China,36.0
Colombia,3.0
Congo,
Costa Rica,5.0
Cote d'Ivoire,1.0
Croatia,3.0
Cuba,
Curacao,
Cyprus,3.0
Czech Republic,3.0
Democratic Republic of Congo,4.0
Denmark,6.0
Dominican Republic,1.0
Ecuador,2.0
Egypt,4.0
Equatorial Guinea,
Estonia,2.0
Ethiopia,1.0
Faeroe Islands,1.0
Finland,3.0
France,4.0
French Guiana,
French Polynesia,3.0
Gabon,
Georgia,7.0
Germany,4.0
Ghana,1.0
Gibraltar,1.0
Greece,3.0
Guadeloupe,1.0
Guam,
Guatemala,
Guernsey,
Guinea,
Guyana,2.0
Honduras,1.0
Hungary,3.0
Iceland,3.0
India,6.0
Indonesia,3.0
International,30.0
Iran,7.0
Iraq,6.0
Ireland,3.0
Israel,3.0
Italy,5.0
Jamaica,4.0
Japan,10.0
Jersey,
Jordan,1.0
Kazakhstan,
Kenya,1.0
Kuwait,7.0
Latvia,3.0
Lebanon,6.0
Liberia,
Liechtenstein,5.0
Lithuania,3.0
Luxembourg,1.0
Macedonia,3.0
Malaysia,2.0
Maldives,7.0
Malta,2.0
Martinique,3.0
Mauritania,
Mayotte,
Mexico,3.0
Moldova,2.0
Monaco,2.0
Mongolia,1.0
Morocco,2.0
Namibia,
Nepal,
Netherlands,4.0
New Zealand,4.0
Nigeria,9.0
Norway,4.0
Oman,13.0
Pakistan,1.0
Palestine,8.0
Panama,2.0
Paraguay,7.0
Peru,2.0
Philippines,3.0
Poland,3.0
Portugal,2.0
Puerto Rico,
Qatar,6.0
Reunion,4.0
Romania,3.0
Russia,2.0
Rwanda,
Saint Barthlemy,2.0
Saint Lucia,1.0
Saint Martin (French part),
Saint Vincent and the Grenadines,
San Marino,7.0
Saudi Arabia,3.0
Senegal,3.0
Serbia,3.0
Seychelles,1.0
Singapore,11.0
Slovakia,3.0
Slovenia,4.0
Somalia,
South Africa,3.0
South Korea,16.0
Spain,3.0
Sri Lanka,2.0
Sudan,1.0
Suriname,
Swaziland,
Sweden,5.0
Switzerland,4.0
Tanzania,
Thailand,5.0
Togo,
Trinidad and Tobago,1.0
Tunisia,4.0
Turkey,1.0
Ukraine,1.0
United Arab Emirates,8.0
United Kingdom,4.0
United States,1.0
United States Virgin Islands,
Uruguay,
Uzbekistan,
Vatican,
Venezuela,1.0
Vietnam,8.0
World,15.0
