State_code,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time
MH,Maharashtra,479779,316375,16792,146305,06/08/2020 20:42:51
TN,Tamil Nadu,279144,221087,4571,53486,06/08/2020 19:44:47
DL,Delhi,141531,127124,4059,10348,06/08/2020 18:39:45
KA,Karnataka,158254,80281,2897,75067,06/08/2020 21:19:51
AP,Andhra Pradesh,196789,112870,1753,82166,06/08/2020 19:45:03
UP,Uttar Pradesh,108974,63402,1918,43654,06/08/2020 17:53:49
GJ,Gujarat,67811,50524,2579,14708,06/08/2020 21:28:40
WB,West Bengal,86754,61023,1902,23829,06/08/2020 21:28:42
TG,Telangana,73050,52103,589,20358,06/08/2020 11:26:06
RJ,Rajasthan,48996,35131,757,13108,06/08/2020 21:54:44
BR,Bihar,68148,43820,388,23939,06/08/2020 17:29:43
HR,Haryana,39303,32640,458,6205,06/08/2020 20:29:05
AS,Assam,52818,37225,126,15464,06/08/2020 23:00:49
MP,Madhya Pradesh,36564,26902,946,8716,06/08/2020 19:55:50
OR,Odisha,40717,26888,280,13549,06/08/2020 20:44:03
JK,Jammu and Kashmir,23454,15708,436,7310,06/08/2020 18:19:43
KL,Kerala,30449,18333,98,11983,06/08/2020 20:08:58
PB,Punjab,20891,13659,517,6715,06/08/2020 21:19:59
JH,Jharkhand,15756,6594,145,9017,06/08/2020 23:00:52
CT,Chhattisgarh,11020,8088,77,2855,06/08/2020 23:00:55
UT,Uttarakhand,8623,5427,102,3056,06/08/2020 23:46:40
GA,Goa,7614,5453,66,2095,06/08/2020 19:39:50
TR,Tripura,5740,3793,31,1898,06/08/2020 11:43:39
PY,Puducherry,4621,2808,70,1743,06/08/2020 18:11:03
MN,Manipur,3217,1905,8,1304,06/08/2020 19:18:40
HP,Himachal Pradesh,3047,1865,13,1141,06/08/2020 22:26:45
LA,Ladakh,1595,1177,7,411,06/08/2020 20:38:59
NL,Nagaland,2580,819,6,1752,06/08/2020 18:39:49
AR,Arunachal Pradesh,1948,1245,3,700,06/08/2020 23:17:40
CH,Chandigarh,1327,777,20,529,06/08/2020 18:11:05
DN,Dadra and Nagar Haveli and Daman and Diu,1415,997,2,406,06/08/2020 20:07:54
ML,Meghalaya,990,345,5,640,06/08/2020 20:09:02
SK,Sikkim,829,353,1,475,06/08/2020 23:01:46
MZ,Mizoram,538,288,0,249,06/08/2020 17:29:49
AN,Andaman and Nicobar Islands,1123,355,16,752,06/08/2020 20:45:08
UN,State Unassigned,0,0,0,0,19/07/2020 09:40:01
LD,Lakshadweep,0,0,0,0,26/03/2020 07:19:29
TT,Total,2025409,1377384,41638,605933,06/08/2020 23:46:37
