District_Key,State_Code,State,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased
AN_Nicobars,AN,Andaman and Nicobar Islands,Nicobars,0,0,0,0,0,0,0,0
AN_North and Middle Andaman,AN,Andaman and Nicobar Islands,North and Middle Andaman,1,0,1,0,0,0,0,0
AN_South Andaman,AN,Andaman and Nicobar Islands,South Andaman,51,19,32,0,0,0,0,0
AN_Unknown,AN,Andaman and Nicobar Islands,Unknown,1071,733,322,16,0,0,0,0
AP_Anantapur,AP,Andhra Pradesh,Anantapur,21173,6768,14263,142,1112,-494,1596,10
AP_Chittoor,AP,Andhra Pradesh,Chittoor,14306,6215,7948,143,755,251,496,8
AP_East Godavari,AP,Andhra Pradesh,East Godavari,27580,12583,14792,205,1351,973,368,10
AP_Foreign Evacuees,AP,Andhra Pradesh,Foreign Evacuees,434,0,434,0,0,0,0,0
AP_Guntur,AP,Andhra Pradesh,Guntur,19419,7224,12007,188,868,226,633,9
AP_Krishna,AP,Andhra Pradesh,Krishna,9042,3012,5832,198,363,57,300,6
AP_Kurnool,AP,Andhra Pradesh,Kurnool,23348,9811,13314,223,1285,115,1168,2
AP_Other State,AP,Andhra Pradesh,Other State,2461,0,2461,0,0,0,0,0
AP_Prakasam,AP,Andhra Pradesh,Prakasam,7256,2846,4324,86,366,19,341,6
AP_S.P.S. Nellore,AP,Andhra Pradesh,S.P.S. Nellore,10705,5368,5263,74,788,-169,951,6
AP_Srikakulam,AP,Andhra Pradesh,Srikakulam,9636,4297,5235,104,682,549,131,2
AP_Unknown,AP,Andhra Pradesh,Unknown,0,0,0,0,0,0,0,0
AP_Visakhapatnam,AP,Andhra Pradesh,Visakhapatnam,16682,9595,6940,147,781,-85,862,4
AP_Vizianagaram,AP,Andhra Pradesh,Vizianagaram,7468,4639,2757,72,575,388,184,3
AP_West Godavari,AP,Andhra Pradesh,West Godavari,15786,3953,11716,117,798,-208,1003,3
AP_Y.S.R. Kadapa,AP,Andhra Pradesh,Y.S.R. Kadapa,11493,5855,5584,54,604,118,483,3
AR_Anjaw,AR,Arunachal Pradesh,Anjaw,4,0,4,0,0,0,0,0
AR_Changlang,AR,Arunachal Pradesh,Changlang,269,147,122,0,2,-3,5,0
AR_East Kameng,AR,Arunachal Pradesh,East Kameng,57,39,18,0,8,-1,9,0
AR_East Siang,AR,Arunachal Pradesh,East Siang,114,45,69,0,0,-1,1,0
AR_Kamle,AR,Arunachal Pradesh,Kamle,1,0,1,0,0,0,0,0
AR_Kra Daadi,AR,Arunachal Pradesh,Kra Daadi,0,0,0,0,0,0,0,0
AR_Kurung Kumey,AR,Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0
AR_Lepa Rada,AR,Arunachal Pradesh,Lepa Rada,13,2,11,0,0,0,0,0
AR_Lohit,AR,Arunachal Pradesh,Lohit,55,38,17,0,10,10,0,0
AR_Longding,AR,Arunachal Pradesh,Longding,14,6,8,0,0,0,0,0
AR_Lower Dibang Valley,AR,Arunachal Pradesh,Lower Dibang Valley,22,6,16,0,0,-1,1,0
AR_Lower Siang,AR,Arunachal Pradesh,Lower Siang,40,23,17,0,2,2,0,0
AR_Lower Subansiri,AR,Arunachal Pradesh,Lower Subansiri,39,13,26,0,0,0,0,0
AR_Namsai,AR,Arunachal Pradesh,Namsai,160,104,56,0,55,55,0,0
AR_Pakke Kessang,AR,Arunachal Pradesh,Pakke Kessang,1,0,1,0,0,0,0,0
AR_Papum Pare,AR,Arunachal Pradesh,Papum Pare,910,159,750,1,7,-14,21,0
AR_Shi Yomi,AR,Arunachal Pradesh,Shi Yomi,4,4,0,0,0,0,0,0
AR_Siang,AR,Arunachal Pradesh,Siang,3,0,3,0,0,0,0,0
AR_Tawang,AR,Arunachal Pradesh,Tawang,50,24,26,0,6,5,1,0
AR_Tirap,AR,Arunachal Pradesh,Tirap,63,33,30,0,1,1,0,0
AR_Unknown,AR,Arunachal Pradesh,Unknown,0,0,0,0,0,0,0,0
AR_Upper Dibang Valley,AR,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,0,0,0,0
AR_Upper Siang,AR,Arunachal Pradesh,Upper Siang,28,8,20,0,0,3,-3,0
AR_Upper Subansiri,AR,Arunachal Pradesh,Upper Subansiri,4,1,3,0,0,0,0,0
AR_West Kameng,AR,Arunachal Pradesh,West Kameng,57,21,34,2,1,1,0,0
AR_West Siang,AR,Arunachal Pradesh,West Siang,40,27,13,0,1,1,0,0
AS_Airport Quarantine,AS,Assam,Airport Quarantine,13,0,13,0,0,0,0,0
AS_Baksa,AS,Assam,Baksa,337,35,301,1,0,0,0,0
AS_Barpeta,AS,Assam,Barpeta,825,85,739,1,0,0,0,0
AS_Biswanath,AS,Assam,Biswanath,247,68,179,0,0,0,0,0
AS_Bongaigaon,AS,Assam,Bongaigaon,719,163,556,0,0,0,0,0
AS_Cachar,AS,Assam,Cachar,1878,374,1499,5,163,163,0,0
AS_Charaideo,AS,Assam,Charaideo,73,5,67,1,0,0,0,0
AS_Chirang,AS,Assam,Chirang,233,58,175,0,0,0,0,0
AS_Darrang,AS,Assam,Darrang,1308,226,1077,5,0,0,0,0
AS_Dhemaji,AS,Assam,Dhemaji,286,48,238,0,0,0,0,0
AS_Dhubri,AS,Assam,Dhubri,1163,378,785,0,0,0,0,0
AS_Dibrugarh,AS,Assam,Dibrugarh,2187,692,1486,9,128,127,0,1
AS_Dima Hasao,AS,Assam,Dima Hasao,191,25,166,0,0,0,0,0
AS_Goalpara,AS,Assam,Goalpara,453,38,382,0,0,0,0,0
AS_Golaghat,AS,Assam,Golaghat,1749,495,1252,2,0,0,0,0
AS_Hailakandi,AS,Assam,Hailakandi,1006,219,785,2,0,0,0,0
AS_Hojai,AS,Assam,Hojai,933,144,788,1,0,0,0,0
AS_Jorhat,AS,Assam,Jorhat,2155,576,1569,10,104,104,0,0
AS_Kamrup,AS,Assam,Kamrup,1843,830,1008,5,0,0,0,0
AS_Kamrup Metropolitan,AS,Assam,Kamrup Metropolitan,17732,6346,11336,50,470,469,0,1
AS_Karbi Anglong,AS,Assam,Karbi Anglong,400,74,322,4,0,0,0,0
AS_Karimganj,AS,Assam,Karimganj,612,57,549,6,0,-2,0,2
AS_Kokrajhar,AS,Assam,Kokrajhar,408,58,348,2,0,0,0,0
AS_Lakhimpur,AS,Assam,Lakhimpur,666,101,565,0,0,0,0,0
AS_Majuli,AS,Assam,Majuli,85,31,54,0,0,0,0,0
AS_Morigaon,AS,Assam,Morigaon,419,70,349,0,0,0,0,0
AS_Nagaon,AS,Assam,Nagaon,2580,890,1688,2,197,197,0,0
AS_Nalbari,AS,Assam,Nalbari,704,107,596,1,0,0,0,0
AS_Other State,AS,Assam,Other State,1,0,1,0,0,0,0,0
AS_Sivasagar,AS,Assam,Sivasagar,334,42,290,2,0,0,0,0
AS_Sonitpur,AS,Assam,Sonitpur,1487,571,914,2,0,0,0,0
AS_South Salmara Mankachar,AS,Assam,South Salmara Mankachar,46,3,43,0,0,0,0,0
AS_Tinsukia,AS,Assam,Tinsukia,1881,549,1318,14,122,121,0,1
AS_Udalguri,AS,Assam,Udalguri,509,91,417,1,0,0,0,0
AS_Unknown,AS,Assam,Unknown,7325,1981,5341,0,0,0,0,0
AS_West Karbi Anglong,AS,Assam,West Karbi Anglong,30,1,29,0,0,0,0,0
BR_Araria,BR,Bihar,Araria,874,413,454,7,77,64,13,0
BR_Arwal,BR,Bihar,Arwal,693,216,474,3,33,4,29,0
BR_Aurangabad,BR,Bihar,Aurangabad,1219,448,766,5,28,2,26,0
BR_Banka,BR,Bihar,Banka,868,358,507,3,58,34,24,0
BR_Begusarai,BR,Bihar,Begusarai,2273,812,1450,11,66,15,51,0
BR_Bhagalpur,BR,Bihar,Bhagalpur,3138,789,2316,33,128,122,4,2
BR_Bhojpur,BR,Bihar,Bhojpur,2000,666,1320,14,90,54,36,0
BR_Buxar,BR,Bihar,Buxar,1427,593,830,4,92,34,58,0
BR_Darbhanga,BR,Bihar,Darbhanga,1131,414,707,10,40,8,32,0
BR_East Champaran,BR,Bihar,East Champaran,1836,712,1111,13,190,168,22,0
BR_Gaya,BR,Bihar,Gaya,2607,852,1729,26,77,23,52,2
BR_Gopalganj,BR,Bihar,Gopalganj,1228,390,837,1,24,0,24,0
BR_Jamui,BR,Bihar,Jamui,1022,328,689,5,43,29,12,2
BR_Jehanabad,BR,Bihar,Jehanabad,1131,362,763,6,29,16,13,0
BR_Kaimur,BR,Bihar,Kaimur,621,161,453,7,3,-1,4,0
BR_Katihar,BR,Bihar,Katihar,1953,948,1002,3,234,181,53,0
BR_Khagaria,BR,Bihar,Khagaria,1466,489,971,6,50,40,9,1
BR_Kishanganj,BR,Bihar,Kishanganj,896,276,616,4,24,-5,29,0
BR_Lakhisarai,BR,Bihar,Lakhisarai,891,186,701,4,43,39,4,0
BR_Madhepura,BR,Bihar,Madhepura,906,328,574,4,44,35,8,1
BR_Madhubani,BR,Bihar,Madhubani,1576,663,911,2,75,52,23,0
BR_Munger,BR,Bihar,Munger,1352,384,950,18,57,35,22,0
BR_Muzaffarpur,BR,Bihar,Muzaffarpur,3007,892,2100,15,118,33,85,0
BR_Nalanda,BR,Bihar,Nalanda,2716,978,1718,20,102,19,83,0
BR_Nawada,BR,Bihar,Nawada,1558,338,1211,9,43,33,8,2
BR_Patna,BR,Bihar,Patna,11592,3966,7559,67,603,165,431,7
BR_Purnia,BR,Bihar,Purnia,1650,556,1090,4,80,30,50,0
BR_Rohtas,BR,Bihar,Rohtas,2610,943,1644,23,106,70,35,1
BR_Saharsa,BR,Bihar,Saharsa,1075,526,548,1,101,87,14,0
BR_Samastipur,BR,Bihar,Samastipur,1740,720,1008,12,139,125,14,0
BR_Saran,BR,Bihar,Saran,2155,856,1288,11,94,63,31,0
BR_Sheikhpura,BR,Bihar,Sheikhpura,805,338,465,2,69,68,1,0
BR_Sheohar,BR,Bihar,Sheohar,371,136,234,1,14,8,6,0
BR_Sitamarhi,BR,Bihar,Sitamarhi,954,499,450,5,65,22,42,1
BR_Siwan,BR,Bihar,Siwan,1867,542,1317,8,92,76,16,0
BR_Supaul,BR,Bihar,Supaul,1238,459,777,2,33,2,31,0
BR_Unknown,BR,Bihar,Unknown,0,0,0,0,0,0,0,0
BR_Vaishali,BR,Bihar,Vaishali,1982,894,1078,9,163,128,35,0
